'Time and date','EEG O1'
'hh:mm:ss.mmm dd/mm/yyyy','uV'
'[23:27:16.179 06/02/2013]',-13.875
'[23:27:16.179 06/02/2013]',-13.125
'[23:27:16.180 06/02/2013]',-12.406
'[23:27:16.180 06/02/2013]',-11.656
'[23:27:16.181 06/02/2013]',-10.906
'[23:27:16.181 06/02/2013]',-10.188
'[23:27:16.182 06/02/2013]',-9.500
'[23:27:16.182 06/02/2013]',-8.813
'[23:27:16.183 06/02/2013]',-8.156
'[23:27:16.183 06/02/2013]',-7.531
'[23:27:16.184 06/02/2013]',-6.938
'[23:27:16.184 06/02/2013]',-6.375
'[23:27:16.185 06/02/2013]',-5.875
'[23:27:16.185 06/02/2013]',-5.406
'[23:27:16.186 06/02/2013]',-4.969
'[23:27:16.186 06/02/2013]',-4.625
'[23:27:16.187 06/02/2013]',-4.313
'[23:27:16.187 06/02/2013]',-4.063
'[23:27:16.188 06/02/2013]',-3.844
'[23:27:16.188 06/02/2013]',-3.688
'[23:27:16.188 06/02/2013]',-3.594
'[23:27:16.189 06/02/2013]',-3.563
'[23:27:16.189 06/02/2013]',-3.594
'[23:27:16.190 06/02/2013]',-3.656
'[23:27:16.190 06/02/2013]',-3.781
'[23:27:16.191 06/02/2013]',-3.938
'[23:27:16.191 06/02/2013]',-4.156
'[23:27:16.192 06/02/2013]',-4.406
'[23:27:16.192 06/02/2013]',-4.688
'[23:27:16.193 06/02/2013]',-5.031
'[23:27:16.193 06/02/2013]',-5.375
'[23:27:16.194 06/02/2013]',-5.781
'[23:27:16.194 06/02/2013]',-6.188
'[23:27:16.195 06/02/2013]',-6.625
'[23:27:16.195 06/02/2013]',-7.094
'[23:27:16.196 06/02/2013]',-7.563
'[23:27:16.196 06/02/2013]',-8.063
'[23:27:16.197 06/02/2013]',-8.563
'[23:27:16.197 06/02/2013]',-9.094
'[23:27:16.198 06/02/2013]',-9.594
'[23:27:16.198 06/02/2013]',-10.125
'[23:27:16.199 06/02/2013]',-10.625
'[23:27:16.199 06/02/2013]',-11.156
'[23:27:16.200 06/02/2013]',-11.656
'[23:27:16.200 06/02/2013]',-12.125
'[23:27:16.201 06/02/2013]',-12.625
'[23:27:16.201 06/02/2013]',-13.063
'[23:27:16.202 06/02/2013]',-13.500
'[23:27:16.202 06/02/2013]',-13.938
'[23:27:16.203 06/02/2013]',-14.313
'[23:27:16.203 06/02/2013]',-14.656
'[23:27:16.204 06/02/2013]',-15.000
'[23:27:16.204 06/02/2013]',-15.281
'[23:27:16.205 06/02/2013]',-15.531
'[23:27:16.205 06/02/2013]',-15.750
'[23:27:16.206 06/02/2013]',-15.938
'[23:27:16.206 06/02/2013]',-16.063
'[23:27:16.207 06/02/2013]',-16.156
'[23:27:16.207 06/02/2013]',-16.219
'[23:27:16.208 06/02/2013]',-16.219
'[23:27:16.208 06/02/2013]',-16.219
'[23:27:16.208 06/02/2013]',-16.125
'[23:27:16.209 06/02/2013]',-16.031
'[23:27:16.209 06/02/2013]',-15.875
'[23:27:16.210 06/02/2013]',-15.688
'[23:27:16.210 06/02/2013]',-15.469
'[23:27:16.211 06/02/2013]',-15.219
'[23:27:16.211 06/02/2013]',-14.938
'[23:27:16.212 06/02/2013]',-14.625
'[23:27:16.212 06/02/2013]',-14.313
'[23:27:16.213 06/02/2013]',-13.938
'[23:27:16.213 06/02/2013]',-13.594
'[23:27:16.214 06/02/2013]',-13.219
'[23:27:16.214 06/02/2013]',-12.813
'[23:27:16.215 06/02/2013]',-12.406
'[23:27:16.215 06/02/2013]',-12.031
'[23:27:16.216 06/02/2013]',-11.625
'[23:27:16.216 06/02/2013]',-11.250
'[23:27:16.217 06/02/2013]',-10.875
'[23:27:16.217 06/02/2013]',-10.500
'[23:27:16.218 06/02/2013]',-10.156
'[23:27:16.218 06/02/2013]',-9.813
'[23:27:16.219 06/02/2013]',-9.500
'[23:27:16.219 06/02/2013]',-9.188
'[23:27:16.220 06/02/2013]',-8.906
'[23:27:16.220 06/02/2013]',-8.656
'[23:27:16.221 06/02/2013]',-8.406
'[23:27:16.221 06/02/2013]',-8.188
'[23:27:16.222 06/02/2013]',-8.000
'[23:27:16.222 06/02/2013]',-7.844
'[23:27:16.223 06/02/2013]',-7.688
'[23:27:16.223 06/02/2013]',-7.563
'[23:27:16.224 06/02/2013]',-7.438
'[23:27:16.224 06/02/2013]',-7.344
'[23:27:16.225 06/02/2013]',-7.250
'[23:27:16.225 06/02/2013]',-7.188
'[23:27:16.226 06/02/2013]',-7.156
'[23:27:16.226 06/02/2013]',-7.094
'[23:27:16.227 06/02/2013]',-7.094
'[23:27:16.227 06/02/2013]',-7.063
'[23:27:16.228 06/02/2013]',-7.094
